id,fecha,cliente,producto,cantidad,precio_unitario,total,metodo_pago,canal_venta,entrega_domicilio,estado_pago
1,04/04/2025,DAWN RAMIREZ,Plan contable básico,3,34.28,102.84,tdc,Página Web,Sí,
2,2025-02-24,Marcus Barnett,Plan Contable Básico,5,270.98,1354.9,Efectivo,Página Web,Sí,Pagado
3,2025-03-29,Tammy Lynch,Asesoría Financiera,3,218.56,655.68,Transferencia,WhatsApp,No,Pagado
4,2025-03-11,Sarah Harris,Simulación de Inversión,1,281.1,281.1,Efectivo,WhatsApp,No,Pagado
5,2025-04-10,Shannon Gonzalez,Asesoría Financiera,4,207.33,829.32,Efectivo,Referido,No,Pendiente
6,2024-11-15,Jennifer Mcconnell,Informe de Riesgo,5,117.63,588.15,Tarjeta de Crédito,Instagram,No,Pagado
7,2025-02-26,Michael Miller,Simulación de Inversión,2,99.38,198.76,EFECTIVO,WhatsApp,No,
8,2024-11-15,Jerry Aguirre,Plan Contable Básico,4,194.61,778.44,Transferencia,Instagram,Sí,Pagado
9,2025-02-08,Michael Ware,Gestión Presupuestaria,4,232.12,928.48,tdc,Página Web,Sí,Pagado
10,2025-01-14,Jeffrey Parker,Simulación de Inversión,3,176.4,529.2,Efectivo,Página Web,No,Pagado
11,21/10/2024,Annette Riley,Asesoría Financiera,5,68.37,341.85,Transf.,Instagram,Sí,Pagado
12,2025-02-26,Morgan Johnson,Gestión Presupuestaria,3,56.83,170.49,Transferencia,Instagram,No,
13,2025-03-17,Jeff Wilson,Informe de Riesgo,5,149.07,745.35,Tarjeta de Crédito,Referido,No,
14,2025-02-07,Krista Howard,Simulación de Inversión,5,258.04,1290.2,Efectivo,WhatsApp,Sí,Pendiente
15,2024-12-07,David Robinson,Simulación de Inversión,3,109.4,328.2,Efectivo,Instagram,No,Pagado
16,15-11-2024,Robert Byrd,Asesoría Financiera,1,58.32,58.32,Tarjeta de Crédito,Página Web,No,Pagado
17,2025-04-01,Timothy Powell,Informe de Riesgo,2,112.37,224.74,EFECTIVO,Página Web,Sí,
18,2025-01-02,Brett Palmer,simulación de inversión,2,34.77,69.54,EFECTIVO,WhatsApp,No,
19,2025-01-06,Donald Ramirez,Informe de Riesgo,1,216.97,216.97,Transferencia,WhatsApp,No,
20,2024-10-21,John Wilkins,Simulación de Inversión,4,209.04,836.16,Tarjeta de Crédito,WhatsApp,Sí,
21,02/03/2025,MARY DAVIS,Informe de Riesgo,1,206.38,206.38,Transf.,Instagram,No,Pendiente
22,2024-12-24,Johnny Williams,Asesoría Financiera,3,96.01,288.03,Transf.,Página Web,No,
23,2024-10-25,Derek Espinoza MD,Simulación de Inversión,4,255.13,1020.52,EFECTIVO,Instagram,Sí,Pagado
24,2024-12-10,Michelle Lewis,Simulación de Inversión,4,77.46,309.84,Transf.,Referido,No,
25,2024-11-26,Rachael Smith,Plan Contable Básico,1,35.71,35.71,Tarjeta de Crédito,Instagram,No,
26,2025-04-03,Kimberly Lee,Simulación de Inversión,3,215.56,646.68,Efectivo,Instagram,Sí,
27,2024-11-29,Daisy Garner,Simulación de Inversión,4,66.02,264.08,EFECTIVO,Página Web,No,Pendiente
28,2025-04-14,Ryan Mcfarland,Informe de Riesgo,3,197.78,593.34,EFECTIVO,Instagram,Sí,
29,2025-02-22,Dr. Amy Melton,Asesoría Financiera,3,298.88,896.64,Transf.,Instagram,Sí,Pendiente
30,2024-11-06,Joseph Cook,Simulación de Inversión,4,86.53,346.12,Transferencia,Instagram,Sí,Pagado
31,04/12/2024,Jared Smith,Gestión Presupuestaria,4,177.16,708.64,Transf.,WhatsApp,No,Pagado
32,2025-03-03,Rodney Barber,Simulación de Inversión,5,115.7,578.5,Transferencia,Referido,No,Pendiente
33,2025-03-06,John Perry,Plan Contable Básico,1,161.47,161.47,EFECTIVO,Página Web,Sí,
34,2025-02-12,Julie Hull,Simulación de Inversión,4,129.5,518.0,Transf.,WhatsApp,Sí,Pendiente
